"REF_DATE","GEO","DGUID","Gender","Age group","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1971","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","932038","","","","0"
"1972","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","920780","","","","0"
"1973","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","911937","","","","0"
"1974","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","908457","","","","0"
"1975","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","917415","","","","0"
"1976","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","931612","","","","0"
"1977","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","944621","","","","0"
"1978","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","952430","","","","0"
"1979","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","959735","","","","0"
"1980","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","967548","","","","0"
"1981","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","975759","","","","0"
"1982","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","986582","","","","0"
"1983","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1001249","","","","0"
"1984","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1014615","","","","0"
"1985","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1024928","","","","0"
"1986","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1028717","","","","0"
"1987","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1032799","","","","0"
"1988","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1028225","","","","0"
"1989","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1019439","","","","0"
"1990","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1007727","","","","0"
"1991","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1002713","","","","0"
"1992","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1003995","","","","0"
"1993","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1006900","","","","0"
"1994","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1009575","","","","0"
"1995","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1014187","","","","0"
"1996","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1018945","","","","0"
"1997","Saskatchewan","2016A000247","Total - gender","All ages","Persons","249","units","0","v469188","9.1.1","1017902","","","","0"
