year,gender,age,value
1971,Total - gender,All ages,932038.0
1972,Total - gender,All ages,920780.0
1973,Total - gender,All ages,911937.0
1974,Total - gender,All ages,908457.0
1975,Total - gender,All ages,917415.0
1976,Total - gender,All ages,931612.0
1977,Total - gender,All ages,944621.0
1978,Total - gender,All ages,952430.0
1979,Total - gender,All ages,959735.0
1980,Total - gender,All ages,967548.0
1981,Total - gender,All ages,975759.0
1982,Total - gender,All ages,986582.0
1983,Total - gender,All ages,1001249.0
1984,Total - gender,All ages,1014615.0
1985,Total - gender,All ages,1024928.0
1986,Total - gender,All ages,1028717.0
1987,Total - gender,All ages,1032799.0
1988,Total - gender,All ages,1028225.0
1989,Total - gender,All ages,1019439.0
1990,Total - gender,All ages,1007727.0
1991,Total - gender,All ages,1002713.0
1992,Total - gender,All ages,1003995.0
1993,Total - gender,All ages,1006900.0
1994,Total - gender,All ages,1009575.0
1995,Total - gender,All ages,1014187.0
1996,Total - gender,All ages,1018945.0
1997,Total - gender,All ages,1017902.0
1998,Total - gender,All ages,1017332.0
1999,Total - gender,All ages,1014524.0
2000,Total - gender,All ages,1007565.0
2001,Total - gender,All ages,1000307.0
2002,Total - gender,All ages,996854.0
2003,Total - gender,All ages,996422.0
2004,Total - gender,All ages,997305.0
2005,Total - gender,All ages,993510.0
2006,Total - gender,All ages,992313.0
2007,Total - gender,All ages,1002074.0
2008,Total - gender,All ages,1017368.0
2009,Total - gender,All ages,1034791.0
2010,Total - gender,All ages,1051426.0
2011,Total - gender,All ages,1065661.0
2012,Total - gender,All ages,1083005.0
2013,Total - gender,All ages,1098868.0
2014,Total - gender,All ages,1111989.0
2015,Total - gender,All ages,1122210.0
2016,Total - gender,All ages,1135496.0
2017,Total - gender,All ages,1147315.0
2018,Total - gender,All ages,1156210.0
2019,Total - gender,All ages,1164223.0
2020,Total - gender,All ages,1167386.0
2021,Total - gender,All ages,1167711.0
2022,Total - gender,All ages,1178422.0
2023,Total - gender,All ages,1209107.0
1971,Total - gender,0 to 4 years,79496.0
1972,Total - gender,0 to 4 years,76633.0
1973,Total - gender,0 to 4 years,75146.0
1974,Total - gender,0 to 4 years,73920.0
1975,Total - gender,0 to 4 years,74414.0
1976,Total - gender,0 to 4 years,75445.0
1977,Total - gender,0 to 4 years,77276.0
1978,Total - gender,0 to 4 years,78307.0
1979,Total - gender,0 to 4 years,79926.0
1980,Total - gender,0 to 4 years,81063.0
1981,Total - gender,0 to 4 years,81839.0
1982,Total - gender,0 to 4 years,83214.0
1983,Total - gender,0 to 4 years,85233.0
1984,Total - gender,0 to 4 years,86552.0
1985,Total - gender,0 to 4 years,87137.0
1986,Total - gender,0 to 4 years,86786.0
1987,Total - gender,0 to 4 years,86801.0
1988,Total - gender,0 to 4 years,84823.0
1989,Total - gender,0 to 4 years,83005.0
1990,Total - gender,0 to 4 years,80979.0
1991,Total - gender,0 to 4 years,78941.0
1992,Total - gender,0 to 4 years,77921.0
1993,Total - gender,0 to 4 years,77123.0
1994,Total - gender,0 to 4 years,75607.0
1995,Total - gender,0 to 4 years,73638.0
1996,Total - gender,0 to 4 years,72401.0
1997,Total - gender,0 to 4 years,70157.0
1998,Total - gender,0 to 4 years,68125.0
1999,Total - gender,0 to 4 years,66200.0
2000,Total - gender,0 to 4 years,64246.0
2001,Total - gender,0 to 4 years,62579.0
2002,Total - gender,0 to 4 years,61226.0
2003,Total - gender,0 to 4 years,60366.0
2004,Total - gender,0 to 4 years,60009.0
2005,Total - gender,0 to 4 years,59059.0
2006,Total - gender,0 to 4 years,59014.0
2007,Total - gender,0 to 4 years,60604.0
2008,Total - gender,0 to 4 years,63329.0
2009,Total - gender,0 to 4 years,65611.0
2010,Total - gender,0 to 4 years,68253.0
2011,Total - gender,0 to 4 years,70178.0
2012,Total - gender,0 to 4 years,72053.0
2013,Total - gender,0 to 4 years,73177.0
2014,Total - gender,0 to 4 years,74106.0
