year,gender,age,value
1971,Men+,All ages,474252.0
1972,Men+,All ages,467774.0
1973,Men+,All ages,462628.0
1974,Men+,All ages,460370.0
1975,Men+,All ages,464450.0
1976,Men+,All ages,471029.0
1977,Men+,All ages,477112.0
1978,Men+,All ages,480565.0
1979,Men+,All ages,483829.0
1980,Men+,All ages,487108.0
1981,Men+,All ages,490676.0
1982,Men+,All ages,495223.0
1983,Men+,All ages,502076.0
1984,Men+,All ages,508466.0
1985,Men+,All ages,513439.0
1986,Men+,All ages,515201.0
1987,Men+,All ages,516941.0
1988,Men+,All ages,514353.0
1989,Men+,All ages,509252.0
1990,Men+,All ages,502801.0
1991,Men+,All ages,499644.0
1992,Men+,All ages,499985.0
1993,Men+,All ages,501419.0
1994,Men+,All ages,502314.0
1995,Men+,All ages,504261.0
1996,Men+,All ages,506900.0
1997,Men+,All ages,506486.0
1998,Men+,All ages,506020.0
1999,Men+,All ages,504632.0
2000,Men+,All ages,501087.0
2001,Men+,All ages,497476.0
2002,Men+,All ages,495219.0
2003,Men+,All ages,494730.0
2004,Men+,All ages,494812.0
2005,Men+,All ages,492581.0
2006,Men+,All ages,491576.0
2007,Men+,All ages,497244.0
2008,Men+,All ages,505960.0
2009,Men+,All ages,516294.0
2010,Men+,All ages,525719.0
2011,Men+,All ages,534352.0
2012,Men+,All ages,544016.0
2013,Men+,All ages,552988.0
2014,Men+,All ages,560212.0
2015,Men+,All ages,565351.0
2016,Men+,All ages,571890.0
2017,Men+,All ages,577996.0
2018,Men+,All ages,582495.0
2019,Men+,All ages,586707.0
2020,Men+,All ages,588124.0
2021,Men+,All ages,588094.0
2022,Men+,All ages,593243.0
2023,Men+,All ages,609018.0
1971,Men+,0 to 4 years,40605.0
1972,Men+,0 to 4 years,39098.0
1973,Men+,0 to 4 years,38230.0
1974,Men+,0 to 4 years,37679.0
1975,Men+,0 to 4 years,37929.0
1976,Men+,0 to 4 years,38355.0
1977,Men+,0 to 4 years,39199.0
1978,Men+,0 to 4 years,39831.0
1979,Men+,0 to 4 years,40775.0
1980,Men+,0 to 4 years,41368.0
1981,Men+,0 to 4 years,41959.0
1982,Men+,0 to 4 years,42723.0
1983,Men+,0 to 4 years,43628.0
1984,Men+,0 to 4 years,44130.0
1985,Men+,0 to 4 years,44574.0
1986,Men+,0 to 4 years,44340.0
1987,Men+,0 to 4 years,44241.0
1988,Men+,0 to 4 years,43459.0
1989,Men+,0 to 4 years,42538.0
1990,Men+,0 to 4 years,41517.0
1991,Men+,0 to 4 years,40380.0
1992,Men+,0 to 4 years,39935.0
1993,Men+,0 to 4 years,39529.0
1994,Men+,0 to 4 years,38831.0
1995,Men+,0 to 4 years,37719.0
1996,Men+,0 to 4 years,37044.0
1997,Men+,0 to 4 years,35948.0
1998,Men+,0 to 4 years,34805.0
1999,Men+,0 to 4 years,33889.0
2000,Men+,0 to 4 years,32945.0
2001,Men+,0 to 4 years,32127.0
2002,Men+,0 to 4 years,31415.0
2003,Men+,0 to 4 years,30978.0
2004,Men+,0 to 4 years,30728.0
2005,Men+,0 to 4 years,30333.0
2006,Men+,0 to 4 years,30343.0
2007,Men+,0 to 4 years,31152.0
2008,Men+,0 to 4 years,32415.0
2009,Men+,0 to 4 years,33608.0
2010,Men+,0 to 4 years,34921.0
2011,Men+,0 to 4 years,36046.0
2012,Men+,0 to 4 years,36873.0
2013,Men+,0 to 4 years,37474.0
2014,Men+,0 to 4 years,37841.0
2015,Men+,0 to 4 years,38228.0
2016,Men+,0 to 4 years,38663.0
2017,Men+,0 to 4 years,39080.0
2018,Men+,0 to 4 years,39066.0
2019,Men+,0 to 4 years,38628.0
2020,Men+,0 to 4 years,37888.0
2021,Men+,0 to 4 years,37070.0
2022,Men+,0 to 4 years,36253.0
2023,Men+,0 to 4 years,35981.0
1971,Men+,5 to 9 years,50405.0
1972,Men+,5 to 9 years,47700.0
1973,Men+,5 to 9 years,44666.0
1974,Men+,5 to 9 years,42018.0
1975,Men+,5 to 9 years,40471.0
1976,Men+,5 to 9 years,40178.0
1977,Men+,5 to 9 years,40084.0
1978,Men+,5 to 9 years,39936.0
1979,Men+,5 to 9 years,39610.0
1980,Men+,5 to 9 years,39576.0
1981,Men+,5 to 9 years,39610.0
1982,Men+,5 to 9 years,39854.0
1983,Men+,5 to 9 years,40377.0
1984,Men+,5 to 9 years,41357.0
1985,Men+,5 to 9 years,42126.0
1986,Men+,5 to 9 years,42801.0
1987,Men+,5 to 9 years,43145.0
1988,Men+,5 to 9 years,42911.0
1989,Men+,5 to 9 years,42445.0
1990,Men+,5 to 9 years,41954.0
1991,Men+,5 to 9 years,41722.0
1992,Men+,5 to 9 years,41230.0
1993,Men+,5 to 9 years,40953.0
1994,Men+,5 to 9 years,40667.0
1995,Men+,5 to 9 years,40715.0
1996,Men+,5 to 9 years,40363.0
1997,Men+,5 to 9 years,40103.0
1998,Men+,5 to 9 years,39732.0
1999,Men+,5 to 9 years,38819.0
2000,Men+,5 to 9 years,37398.0
2001,Men+,5 to 9 years,36048.0
2002,Men+,5 to 9 years,35075.0
2003,Men+,5 to 9 years,33940.0
2004,Men+,5 to 9 years,33086.0
2005,Men+,5 to 9 years,32128.0
2006,Men+,5 to 9 years,31487.0
2007,Men+,5 to 9 years,31421.0
2008,Men+,5 to 9 years,31588.0
2009,Men+,5 to 9 years,32019.0
2010,Men+,5 to 9 years,32301.0
2011,Men+,5 to 9 years,32846.0
2012,Men+,5 to 9 years,33675.0
2013,Men+,5 to 9 years,34827.0
2014,Men+,5 to 9 years,35827.0
2015,Men+,5 to 9 years,36869.0
2016,Men+,5 to 9 years,38022.0
2017,Men+,5 to 9 years,38916.0
2018,Men+,5 to 9 years,39522.0
2019,Men+,5 to 9 years,39722.0
2020,Men+,5 to 9 years,40056.0
2021,Men+,5 to 9 years,39782.0
2022,Men+,5 to 9 years,39993.0
2023,Men+,5 to 9 years,40846.0
1971,Men+,10 to 14 years,52323.0
1972,Men+,10 to 14 years,51509.0
1973,Men+,10 to 14 years,51183.0
1974,Men+,10 to 14 years,50827.0
1975,Men+,10 to 14 years,50052.0
1976,Men+,10 to 14 years,48647.0
