year,gender,age,value
1971,Male+,All ages,474252.0
1972,Male+,All ages,467774.0
1973,Male+,All ages,462628.0
1974,Male+,All ages,460370.0
1975,Male+,All ages,464450.0
1976,Male+,All ages,471029.0
1977,Male+,All ages,477112.0
1978,Male+,All ages,480565.0
1979,Male+,All ages,483829.0
1980,Male+,All ages,487108.0
1981,Male+,All ages,490676.0
1982,Male+,All ages,495223.0
1983,Male+,All ages,502076.0
1984,Male+,All ages,508466.0
1985,Male+,All ages,513439.0
1986,Male+,All ages,515201.0
1987,Male+,All ages,516941.0
1988,Male+,All ages,514353.0
1989,Male+,All ages,509252.0
1990,Male+,All ages,502801.0
1991,Male+,All ages,499644.0
1992,Male+,All ages,499985.0
1993,Male+,All ages,501419.0
1994,Male+,All ages,502314.0
1995,Male+,All ages,504261.0
1996,Male+,All ages,506900.0
1997,Male+,All ages,506486.0
1998,Male+,All ages,506020.0
1999,Male+,All ages,504632.0
2000,Male+,All ages,501087.0
2001,Male+,All ages,497476.0
2002,Male+,All ages,495219.0
2003,Male+,All ages,494730.0
2004,Male+,All ages,494812.0
2005,Male+,All ages,492581.0
2006,Male+,All ages,491576.0
2007,Male+,All ages,497244.0
2008,Male+,All ages,505960.0
2009,Male+,All ages,516294.0
2010,Male+,All ages,525719.0
2011,Male+,All ages,534352.0
2012,Male+,All ages,544016.0
2013,Male+,All ages,552988.0
2014,Male+,All ages,560212.0
2015,Male+,All ages,565351.0
2016,Male+,All ages,571890.0
2017,Male+,All ages,577996.0
2018,Male+,All ages,582495.0
2019,Male+,All ages,586707.0
2020,Male+,All ages,588124.0
2021,Male+,All ages,588094.0
2022,Male+,All ages,593243.0
2023,Male+,All ages,609018.0
1971,Male+,0 to 4 years,40605.0
1972,Male+,0 to 4 years,39098.0
1973,Male+,0 to 4 years,38230.0
1974,Male+,0 to 4 years,37679.0
1975,Male+,0 to 4 years,37929.0
1976,Male+,0 to 4 years,38355.0
1977,Male+,0 to 4 years,39199.0
1978,Male+,0 to 4 years,39831.0
1979,Male+,0 to 4 years,40775.0
1980,Male+,0 to 4 years,41368.0
1981,Male+,0 to 4 years,41959.0
1982,Male+,0 to 4 years,42723.0
1983,Male+,0 to 4 years,43628.0
1984,Male+,0 to 4 years,44130.0
1985,Male+,0 to 4 years,44574.0
1986,Male+,0 to 4 years,44340.0
1987,Male+,0 to 4 years,44241.0
1988,Male+,0 to 4 years,43459.0
1989,Male+,0 to 4 years,42538.0
1990,Male+,0 to 4 years,41517.0
1991,Male+,0 to 4 years,40380.0
1992,Male+,0 to 4 years,39935.0
1993,Male+,0 to 4 years,39529.0
1994,Male+,0 to 4 years,38831.0
1995,Male+,0 to 4 years,37719.0
1996,Male+,0 to 4 years,37044.0
1997,Male+,0 to 4 years,35948.0
1998,Male+,0 to 4 years,34805.0
1999,Male+,0 to 4 years,33889.0
2000,Male+,0 to 4 years,32945.0
2001,Male+,0 to 4 years,32127.0
2002,Male+,0 to 4 years,31415.0
2003,Male+,0 to 4 years,30978.0
2004,Male+,0 to 4 years,30728.0
2005,Male+,0 to 4 years,30333.0
2006,Male+,0 to 4 years,30343.0
2007,Male+,0 to 4 years,31152.0
2008,Male+,0 to 4 years,32415.0
2009,Male+,0 to 4 years,33608.0
2010,Male+,0 to 4 years,34921.0
2011,Male+,0 to 4 years,36046.0
2012,Male+,0 to 4 years,36873.0
2013,Male+,0 to 4 years,37474.0
2014,Male+,0 to 4 years,37841.0
2015,Male+,0 to 4 years,38228.0
2016,Male+,0 to 4 years,38663.0
2017,Male+,0 to 4 years,39080.0
2018,Male+,0 to 4 years,39066.0
2019,Male+,0 to 4 years,38628.0
2020,Male+,0 to 4 years,37888.0
2021,Male+,0 to 4 years,37070.0
2022,Male+,0 to 4 years,36253.0
2023,Male+,0 to 4 years,35981.0
1971,Male+,5 to 9 years,50405.0
1972,Male+,5 to 9 years,47700.0
1973,Male+,5 to 9 years,44666.0
1974,Male+,5 to 9 years,42018.0
1975,Male+,5 to 9 years,40471.0
1976,Male+,5 to 9 years,40178.0
1977,Male+,5 to 9 years,40084.0
1978,Male+,5 to 9 years,39936.0
1979,Male+,5 to 9 years,39610.0
1980,Male+,5 to 9 years,39576.0
1981,Male+,5 to 9 years,39610.0
1982,Male+,5 to 9 years,39854.0
1983,Male+,5 to 9 years,40377.0
1984,Male+,5 to 9 years,41357.0
1985,Male+,5 to 9 years,42126.0
1986,Male+,5 to 9 years,42801.0
1987,Male+,5 to 9 years,43145.0
1988,Male+,5 to 9 years,42911.0
1989,Male+,5 to 9 years,42445.0
1990,Male+,5 to 9 years,41954.0
1991,Male+,5 to 9 years,41722.0
1992,Male+,5 to 9 years,41230.0
1993,Male+,5 to 9 years,40953.0
1994,Male+,5 to 9 years,40667.0
1995,Male+,5 to 9 years,40715.0
1996,Male+,5 to 9 years,40363.0
1997,Male+,5 to 9 years,40103.0
1998,Male+,5 to 9 years,39732.0
1999,Male+,5 to 9 years,38819.0
2000,Male+,5 to 9 years,37398.0
2001,Male+,5 to 9 years,36048.0
2002,Male+,5 to 9 years,35075.0
2003,Male+,5 to 9 years,33940.0
2004,Male+,5 to 9 years,33086.0
2005,Male+,5 to 9 years,32128.0
2006,Male+,5 to 9 years,31487.0
2007,Male+,5 to 9 years,31421.0
2008,Male+,5 to 9 years,31588.0
2009,Male+,5 to 9 years,32019.0
2010,Male+,5 to 9 years,32301.0
2011,Male+,5 to 9 years,32846.0
2012,Male+,5 to 9 years,33675.0
2013,Male+,5 to 9 years,34827.0
2014,Male+,5 to 9 years,35827.0
2015,Male+,5 to 9 years,36869.0
2016,Male+,5 to 9 years,38022.0
2017,Male+,5 to 9 years,38916.0
2018,Male+,5 to 9 years,39522.0
2019,Male+,5 to 9 years,39722.0
2020,Male+,5 to 9 years,40056.0
2021,Male+,5 to 9 years,39782.0
2022,Male+,5 to 9 years,39993.0
2023,Male+,5 to 9 years,40846.0
1971,Male+,10 to 14 years,52323.0
1972,Male+,10 to 14 years,51509.0
1973,Male+,10 to 14 years,51183.0
1974,Male+,10 to 14 years,50827.0
1975,Male+,10 to 14 years,50052.0
1976,Male+,10 to 14 years,48647.0
1977,Male+,10 to 14 years,47438.0
1978,Male+,10 to 14 years,45510.0
1979,Male+,10 to 14 years,43515.0
1980,Male+,10 to 14 years,41855.0
1981,Male+,10 to 14 years,41116.0
1982,Male+,10 to 14 years,40871.0
1983,Male+,10 to 14 years,40738.0
1984,Male+,10 to 14 years,40263.0
1985,Male+,10 to 14 years,40052.0
1986,Male+,10 to 14 years,39651.0
1987,Male+,10 to 14 years,39948.0
1988,Male+,10 to 14 years,40093.0
1989,Male+,10 to 14 years,40278.0
1990,Male+,10 to 14 years,40107.0
1991,Male+,10 to 14 years,40358.0
